407,962,961,962,961,962,961,962,961,962,961,962,961,962,961,6340,6341,6340,6341,6342,6341,6342,6343,962,961,962,961,962,961,962,961,962,961,962,963,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425
519,1074,1073,1074,1073,1074,1073,1074,1073,1074,1073,1074,849,850,849,6452,6453,6452,6453,6454,6453,6454,6455,850,849,850,849,850,849,850,849,850,849,850,851,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537
407,4998,4999,3425,3424,3425,3424,3425,3424,3425,3424,407,961,962,961,6564,6565,6564,6565,6566,6565,6566,6567,962,961,962,961,962,961,962,961,962,961,962,963,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425
519,4773,5111,3537,3536,3537,3536,3537,3536,3537,3536,519,1073,1074,1073,6676,6677,6676,6677,6678,6677,6678,6679,4304,4305,1074,1073,1074,1073,1074,1073,1074,1073,1074,1075,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537
407,4885,5223,3425,3424,3425,3424,4768,4769,3425,3424,407,3424,3425,4544,6788,6789,6788,6789,6790,6789,6790,6791,4416,4417,3425,3424,3425,3424,3425,3424,3425,3424,3425,3426,3427,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425
519,5334,5335,3537,3536,3537,3536,4770,4771,3425,3536,519,3536,3537,4208,6900,6901,6900,6901,6902,6901,6902,6903,3537,3536,3537,3425,3537,3424,4768,4769,3537,3536,3537,3538,3539,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537
407,629,630,629,630,629,630,2560,2561,629,630,631,3424,3424,3425,4882,5330,5330,5329,5330,5329,5330,4883,3425,3424,3537,3425,4100,4101,5328,5331,3536,3424,3425,3426,3427,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425
519,961,962,961,962,966,963,2672,2673,960,966,963,3536,3536,4096,4097,3536,3537,4320,4321,4323,3537,3536,3537,3537,3536,4100,4102,4103,4326,4101,4992,4769,3537,3538,3539,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537
407,1073,1074,1073,1074,1078,1075,2560,2561,1072,1078,1075,3424,3425,4208,4209,3424,3425,4656,4657,4659,3425,3424,3425,3537,4324,4102,4550,4438,4437,4439,5216,5219,3425,3426,3427,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425,3424,3425
519,3537,4320,4322,4322,4097,3536,5328,4881,3424,3425,3536,3424,3537,3424,3425,3424,3425,3424,3425,3424,3425,3536,3537,3537,4436,4550,4437,4437,4215,4663,4880,5331,3537,3538,3539,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537,3536,3537
